219903024687317,Lương Văn Tụy Gifted High School - Ninh Bình  Việt Nam,1
111889842161977,sagay national high school,1
228885577182058,Trường THCS Lương Thế Vinh,2
101290706586785,THPT Luong Ngoc Quyen,1
278207272291928,Thang Long Secondary School,1
192971500782892,Truong DH TDTT Bac Ninh,1
593608934017930,THPT Chuyen Dai hoc Su pham,1
153884331306822,thpt chan mong,2
142711919162385,THPT Lương Đắc Bằng,1
333294173357672,THPT A Duy Tiên,14
118488908169696,Lomonosov,5
200876073401963,THPT BC Nguyễn Tất Thành,1
107340819311070,THPT chuyên Hoàng Văn Thụ,7
111586355546905,THPT Đồ Sơn,2
251284815077581,truong thpt chuyen bien hoa,1
226344774064597,Đại Học Thương Mại,1
116354858405582,Tam Nông,1
126775540681936,Phùng Chí Kiên,1
548054668547235,THCS Nguyễn CÔNG TRỨ,1
200445170003000,THPT Lê Quý Đôn-Hà Đông,12
117946114929205,Trường THPT Cẩm Bình-Cẩm Xuyên-Hà Tĩnh,1
731573003525795,Tru0g thpt dc5,1
102188423214798,THPT Nguyễn Lương Bằng,4
115055825173717,Như Thanh,1
139548989432368,Trường THPT Nguyễn Trung Ngạn,1
160044137356894,THPT Lê Hữu Trác I,1
244593525742877,THCS Phan Chu Trinh Ba Dinh Ha Noi,1
120314064672955,Tiểu học Nguyễn Du,1
192493910832820,THPT Thái Phiên,3
279537632164728,THPT Triệu Sơn 1,1
106585359378237,Wellington Secondary College,1
116031865092552,nghia tan,2
170112186527638,Chuyên Thăng Long,1
154526197902045,THPT Triệu Quang Phục,1
693455457455185,Trường THPT Lạng Giang số 1,1
119481131423991,THPT Thạch Thất,5
463844280375452,Phổ Thông Chuyên Hà Giang,1
102328329826943,THPT Yên Dũng số 2,5
479829598757312,thpt so 2 Lc,1
136501739701206,Chuyen bien hoa,1
125775387503817,Trường Đại học Khoa học Xã hội và Nhân văn,7
418124761614836,THCO Đông Tảo,1
155834274446221,THPT Chương MỸ A,1
399799363433485,Trường Trung Hoc Phổ Thông Đồ Sơn,1
168657519833675,THPT Le Quy Don- Dong Da  Ha Noi.,1
580797518636400,THPT HĐA 10A3,1
160025280698321,Trung hoc pho thong bac dong quan,1
128954493796002,Đại học khoa học xã hội và nhân văn,1
149132278628037,Nong Cong I High School,1
135742053272577,THPT Chuyên Hạ Long,5
306523349444420,Trần Phú,9
203513513163276,THPT Phan Huy Chú,1
138873209472044,Luong Van Tuy gifted high school,1
145996758767755,Đại Học Quốc Gia Hà Nội,2
106143002757218,THPT Ngô Quyền-Ba Vì,1
137863719587011,THCS Đống Đa,17
407546479356282,THPT Chuyên Biên Hòa - Hà Nam,1
359439897512527,THPT  Nguyễn Du  Quận 10  TP. Hồ Chí Minh,1
319586648179012,Chuyen toan 09-12  hvt,1
328353193929983,Trường Trung học phổ thông Vĩnh Bảo,1
201127406623887,Nguyễn Huệ high school :x,1
341632502521589,Trung học phổ thông Bố Hạ,2
200711479973793,Trường THCS Hoàng Hoa Thám,1
115132691884628,THPT Ngô Sĩ Liên - Bắc Giang,1
293407241695,PTTH Phan Huy Chú - Đống Đa - Hà Nội,7
501895519836301,THPT Nam ly,1
124746540875209,THPT Thái Phiên,4
144382168937068,THCS Nguyễn Hữu Tiến,1
191503524258301,THPT Hoài Đức A,1
174023315945437,Trường THPT Cẩm Khê,1
190799607639197,THPT  Việt Nam - Ba Lan,5
244732085547317,THPT Lý Thường Kiệt,5
245548935478073,THPT Giồng Ông Tố,1
116281285076402,THCS Vĩnh Tường,1
166594073393191,THPT Đa Phúc,5
189392457748889,University of Transport and Communications,1
266899150115155,thpt Trần Hưng Đạo - TX,1
131514540222061,THCS Việt Nam - Angiêri,3
307700115926660,Trường THPT Lê Quý Đôn - Lâm Hà,1
104726816237396,pham van nghi,1
206763949345607,THCS Giáp Bát,1
211883672324249,THCS Đồng Giao - Tam Điệp - Ninh Bình,1
198807936897093,THPT An Dương - Hải Phòng,4
539987452713725,THPT Chuyên Biên Hoà,1
118515958172567,Ba Dinh,1
107770882638216,THPT Trần Hưng Đạo,8
199691923408582,THPT Ninh Giang - Hải Dương,5
106304022740976,Trường THPT Hàm Rồng,1
108729719158349,Hoàng Hoa Thám,1
519870988077961,trung hoc co so pha lai,1
134152246651522,Trường THPT Mỹ Đức B,5
173785839382927,THCS Xuân Quan,1
201149406584654,THPT Đông Thành,1
109720009083556,THPT Minh Châu,2
156943231096736,THPT Tây Thụy Anh,2
149223548603190,10 Hoá 2,1
305456009477865,Trường THPT Lương Tài 1,5
112662032105045,THPT Nguyen Gia Thieu,2
108488145849425,HN-Amsterdam,3
447253795298459,Trường THPT chuyên Khoa Học Tự Nhiên,7
530134720387895,NTT skull,1
106419652728151,THPT Tiên Lữ,3
124524574259853,THCS Nông Nghiệp 1,1
168647656599141,THCS Nguyễn Du,1
328024017285914,THCS Lê Lợi,1
160764040644017,Trường THPT Nguyễn Thị Minh Khai - Hà Nội,19
121232974718221,Hanam Gifted High School,4
169630503052045,khuc thua du,1
562084883829939,THPT Trần Phú -Hoàn Kiếm - Hà Nội,1
291999794233863,THPT Nguyễn Khuyến - Vĩnh Bảo - Hải Phòng,1
130290277028845,Audubon High School,1
446046708775441,bế văn đàn,1
144687768937213,THPT Mạc Đĩnh Chi Hải Phòng,4
264217483626897,SMA Negeri 4 Surabaya,1
109200919125678,LTV school,1
177483015597980,福岡県立筑紫丘高等学校,1
127020787397249,THPT Đoàn Kết-Hai Bà Trưng.Hà Nội,3
