318385658186342	THPT việt Đức	52
108055515903730	THPT Xuan Truong B	52
173041289375881	THPT Bắc Duyên Hà	52
127611130582334	THPT chuyên Hùng Vương Phú Thọ	51
188380344561006	THPT Bắc Kiến Xương - Thái Bình	51
447253795298459	Trường THPT chuyên Khoa Học Tự Nhiên	51
109935699035801	Phan Đình Phùng	51
155970587847046	WomenTrouserstore	51
106419652728151	THPT Tiên Lữ	50
203333236353421	THPT Phạm Văn Nghị	50
106465239390097	THPT Tiên Du 1	50
296401883808736	THPT Việt Yên 1 - Việt Yên - Bắc Giang	50
117432841608663	THPT Kim Liên	50
180874245317264	THPT  Hiệp Hòa 1	49
264410227046	THPT DIỄN CHÂU 3	49
119543348071265	THPT chuyen Vinh Phuc	49
150929764942857	THPT Nguyễn Đức Cảnh - TP Thái Bình	49
306523349444420	Trần Phú	48
121004204593835	THPT Kinh Môn	48
211106852297233	Trường THPT Tây Tiền Hải	48
112930372119479	THPT Lê Lợi	48
118529164835935	THPT Chuyên Tuyên Quang	48
177865832257406	THPT Tân Lập	47
108444895852812	HNUE High school for gifted students	47
102328329826943	THPT Yên Dũng số 2	47
249365055104447	THPT Quang Trung, Thủy Nguyên, Hải Phòng	47
106294879423529	THPT Lê Quý Đôn - Đống Đa	47
135742053272577	THPT Chuyên Hạ Long	47
212661345467450	Ngo Quyen High School	47
125511334160277	THPT chuyên KHTN	46
190799607639197	THPT  Việt Nam - Ba Lan	46
284994422330	Project Banana	46
107770882638216	THPT Trần Hưng Đạo	45
162280360450842	THPT Cao Bá Quát - Gia Lâm - HN	45
243539265707334	THPT Yên Mỹ	45
132424940190919	THPT Cầu Giấy - Hà Nội	45
114898688523276	CNN	45
305456009477865	Trường THPT Lương Tài 1	45
105849156115561	Trường THPT Cổ Loa	45
258346044218259	THPT yên khánh A ( vườn muỗm )	45
143546459017420	THPT Bình Xuyên, Huyện Bình Xuyên, Tỉnh Vĩnh Phúc	44
104714596288621	THPT Hoàng Văn Thụ	44
132381146836898	THPT Dương Quảng Hàm	44
142727195767186	Trường THPT Tứ Kỳ	44
215205901875558	Khoa Luật - Đại học Quốc gia Hà Nội	44
142580282429975	THPT XUÂN ĐỈNH	44
162769503743033	Chu Van An High School (Hanoi)	43
140157956013585	Nguyen Tat Thanh	43
100668493389902	THPT Lê Quý Đôn - Đống Đa	43
124056607611748	THPT QUỲNH THỌ	43
257513717654748	Trường THPT Thanh Oai B	43
235991869871599	Trường Thpt Lê Xoay	43
162421333789790	THPT Hoàng Văn Thụ - Vụ Bản - Nam Định	42
120347851326062	THPT Chuyên Ngoại Ngữ	42
204604512910865	Trường THPT Cẩm Giàng - HD	42
329875057148512	THPT Chuyên Vĩnh Phúc	42
133953143327992	THPT HƯNG YÊN	42
130090560369750	THPT Lạng Giang số 2	42
227347250643843	Luong The Vinh High School	42
134008519965001	Trường THPT Chuyên Vĩnh Phúc	42
119556358064145	THPT Phùng Khắc Khoan	41
111921832159028	Hoàng Văn Thụ	41
157312247697893	THPT Bac Dong Quan	41
198807936897093	THPT An Dương - Hải Phòng	41
113307845376683	THPT Ân Thi	41
198084280232731	THPT Hoằng Hóa 2	41
110492095639572	THPT Nam Trực	41
116191878401193	THPT chuyên Hùng Vương	41
133308653408533	Trường Thpt Kim Anh - Hà Nội	41
272176952800931	THPT Đông Sơn 1	40
333294173357672	THPT A Duy Tiên	40
332766366777938	THPT Ngô Gia Tự (Lập Thạch - Vĩnh Phúc)	40
251652298203735	THPT Lê Văn Hưu	40
306905349342956	Ngô Sĩ Liên	40
124862767526411	THPT Thanh Ha	40
199964586695602	THPT Hoa Lư A	40
115793605127312	Trường THPT Lý Thái Tổ Bắc Ninh	40
134152246651522	Trường THPT Mỹ Đức B	39
121208106782	Khối Chuyên Đại Học Vinh	39
250430761675329	THPT phú xuyên A	39
282792121772107	THCS Lê Lợi	39
114255028612417	THPT Trực Ninh A	39
106286729410447	THPT Yên Phong I	39
414331161964280	THPT Lý Nhân - Hà Nam	38
203719652994165	THPT Nam Truc	38
134338833309484	THPT Công nghiệp Việt Trì	38
156208611125295	THPT Tam Dương Vĩnh Phúc	38
166321826765513	Thai Binh gifted high school	38
268819789830082	THPT Nguyễn Trãi - Ba Đình	38
137395436292487	THPT Tô Hiệu	38
122303324462378	Chuyên Thái Nguyên	38
124746540875209	THPT Thái Phiên	37
102140949827118	THPT Thăng Long	37
119626148079135	Trường THPT Chí Linh	37
116639291694407	THPT Long Châu Sa	37
174601715938554	Trường THPT Nguyễn Huệ - Yên Bái	37
115848791771947	Thpt Yen Lac	37
154675647911204	THPT Nguyễn Trãi - Thái Bình	37
120700141278931	nguyen trai	37
117411961624092	THPT Thuong Tin	36
214117101942909	THPT Xuân Mai	36
261365730558918	THPT Nam Sách	36
239273786128983	THPT Hoài Đức A	36
274945905869009	THPT Lý Thường Kiệt - HP	36
207017016018717	THCS Thành Công	36
112188015473303	Ha Noi - Amsterdam High School	36
127667520595623	THPT Quảng oai	36
115586991795434	Thang Long	36
438265386223803	THPT Đan Phượng	36
127020787397249	THPT Đoàn Kết-Hai Bà Trưng.Hà Nội	36
115051408506028	THPT chuyên Nguyễn Huệ - Hà Đông - Hà Nội	36
207926802577762	Trường THPT Uông Bí	36
538248632871023	Trường THPT Quế Võ 1	36
250111688372328	THPT Vân Nội	35
185451708187839	THPT NAM TIỀN HẢI	35
215299885176295	Thpt Yên Khánh A	35
176390122883	THCS Chu Văn An	35
114956771854908	Lam Son High School	35
117005624991236	THPT Tiên Lãng	35
130697300346818	THPT Kim Động	35
460772683945366	THPT Nguyễn Bỉnh Khiêm, Vĩnh Bảo, Hải Phòng	35
153719024738467	THPT Phạm Ngũ Lão	35
143171955712937	THCS Chu Van An	35
221856127880657	THPT Thiệu Hóa	35
123116754372692	THPT Nguyen Duc Canh	34
111222332249896	THPT Đan Phượng	34
112296432130788	THPT Nguyễn Trãi - Vũ Thư - Thái Bình	34
140825819327593	THPT Hoằng Hóa IV	34
118900101540660	THPT Long Châu Sa	34
328717483812518	Trường THPT Yên Mô B - Ninh Bình	34
188146054344	THPT Chuyên Tuyên Quang	34
197590003610001	Trường THPT Chuyên Nguyễn Tất Thành	34
181353465292463	THPT Ba Đình - Nga Sơn	34
254441947926024	THPT HỒNG BÀNG	34
198142693604849	THPT Số 1 TP Lào Cai	34
185130228205399	Trung Học Phổ Thông Bắc Đông Quan - Đông Hưng - Thái bình	34
328319340527359	THPT Bãi Cháy	34
140489919378052	THPT Đại An	34
148794658491861	THPT Yen Lac 1	34
217298244950084	Khối THPT chuyên toán tin ĐHKHTN-ĐHQG Hà Nội	34
111847565517229	THPT Hoàng Quốc Việt	34
118008081552065	THPT Quốc Oai	33
128581990488567	THPT Phú Bình - Thái Nguyên	33
280308385324364	Tani Cosmetics	33
385131574894327	Trường THPT Sơn Tây - Nơi chắp cánh ước mơ	33
171249346294774	THPT Ngô Gia Tự	33
115935948417166	Yen Hoa	33
288320098032830	Hanoi – Amsterdam High School	33
120723094620021	THPT Bắc Đông Quan	33
156439577736153	THPT chuyên Chu Văn An Lạng Sơn	33
124395387571088	THPT Thị Xã Cao Bằng	33
124166217620530	THPT Đồng Quan	32
165476146860537	THPT yên thế	32
195359477203751	THPT Hồng Lĩnh	32
159819347477362	THPT Lương Văn Tụy	32
243582678993689	THPT Hà Huy Tập-TP Vinh-Tỉnh Nghệ An-Vietnamese	32
115425601834916	THPT Chuyên Hoàng Văn Thụ Hòa Bình	32
293125700772281	THPT Chuyên Hưng Yên	32
199327793464227	THPT Chuyên Hà Giang	32
102447599799459	Thpt Cao Bá Quát	32
255346517837824	THPT Nguyễn Tất Thành	31
148815568484395	Trường THPT Quảng Xương 3	31
111934115485848	High School for Gifted Students, Hanoi National University of Education	31
186598921576	Marie Curie Hanoi School	31
163357947079909	Trường THPT Giao Thủy B	31
120686521306195	THPT Gia Binh 1	31
220990931258434	THPT Nam Sách	31
230906810269822	Trường THPT Phúc Thọ	31
159192617538266	THPT Ngô Sĩ Liên - Bắc Giang	31
106459922722783	THPT Trần Phú - Vĩnh Yên - Vĩnh Phúc	31
183231815051228	THPT chuyên Nguyễn Trãi - Nguyen Trai High School in Hai Duong city	31
155299531225038	Trường THPT Trần Hưng Đạo - Nam Định	31
124461814246951	THPT B Kim Bảng	30
120941727921170	THPT Chí Linh	30
194742450571771	THPT Phả Lại	30
192430957468192	THPT Nguyễn Văn Cừ	30
122681957764804	Trường THPT Trương Định- Hà Nội	30
241788445870166	THPT Phan Đình Phùng - Hà Nội	30
108851029147012	Pho thong chuyen ngoai ngu	30
126372124065501	Thpt Yên Dũng 1	30
119314644766191	THPT A Thanh Liem	30
115387528475905	PTCNN	30
150318615057867	THPT Lý Thường Kiệt, Yên Bái	29
120384247974417	THPT Xuan Truong A	29
197819886914531	Đại học Công nghệ - Đại học Quốc gia Hà Nội	29
111926922158528	Luong Van Tuy	29
128221350590654	Trường THPT Phong Châu	29
168536460708	THCS Ngô Sĩ Liên - Hà Nội	29
296550000449429	Trường THPT Nam Khoái Châu ( Khoái Châu - Hưng Yên )	29
121924127827782	THPT Hoài Đức B	29
110196682336265	PTTH Liên Hà	29
123380204358126	THPT Nguyen Viet Xuan	29
118231728199421	THPT chuyên Nguyễn Trãi	29
115515351869145	THPT Triệu Sơn 1	29
123533617742732	THPT Trần Phú - Quảng Ninh	29
175582502530429	Trường THPT Khoái Châu	29
105147906197472	THPT Mỹ Lộc	29
116913625016833	THPT MÊ LINH	29
195980790448535	THPT Tĩnh Gia 1	29
110222252334062	THPT Tân Yên 1	29
111577368879885	THPT Khoái Châu	28
167340763297370	THPT Yên Lạc	28
449891445075215	THPT Thạch Thất	28
257455774291558	THCS Nguyễn Trường Tộ - Hà Nội	28
122084197835378	THPT Trần Hưng Đạo - Thanh Xuân	28
154526197902045	THPT Triệu Quang Phục	28
101992883202838	Trường THPT Hà Bắc	28
211409292242229	Trường PTTH Tiên Hưng THPT - Đông Hưng - Thái Bình	28
135151296557839	Trường THPT chuyên Hà Nội - Amsterdam	28
105492159497890	THPT Nam Khoái Châu	28
120428117971180	Chuyen Ngu	28
108034475896853	dai hoc khoa hoc xa hoi va nhan van	28
123850107627964	THPT Nho Quan B	28
111664902322005	Trường THPT Bỉm Sơn	28
131488550228152	THPT A Phủ Lý	27
157593584335219	THPT Tân Yên số 2	27
195513077144346	THPT Đông Thụy Anh	27
295450027248865	THPT Vĩnh Bảo - Hải Phòng	27
286681318039810	THPT Mỹ Tho	27
108484685848847	Chuyen Thai Nguyen	27
209964789040956	THPT Nguyễn Huệ - Tam Điệp - Ninh Bình	27
122583641135607	THPT Đông Thụy Anh - Thái Thụy - Thái Bình	27
117296868300497	THPT Yen Phong 1	27
109410509078047	Vietnam National University, Hanoi	27
166309243404721	THPT Tam Nông - Phú Thọ	26
117130514974371	Nguyễn Huệ	26
114962068516933	Hung Vuong Gifted High School	26
115665585139436	Vinh Phuc gifted high school	26
103617549683257	THPT Thuận Thành 1	26
249254811805759	Trường THPT Nguyễn Trãi - Vũ Thư - Thái Bình	26
102148269826459	Chuyen Hung Vuong	26
439491762734153	Trường THPT Chuyên Lào Cai	26
128954493796002	Đại học khoa học xã hội và nhân văn	26
115606571794925	THPT Ngô Sĩ Liên	26
117609978332772	Trường THPT Chu Văn An - Thái Bình	26
143941895647009	THPT Hữu Lũng - Lạng Sơn	26
126086797425984	THPT Thăng Long - Hà Nội	26
106527952716195	THCS Nghĩa Tân	26
115620485129260	THPT Hải Hậu C	25
158534847536490	THPT Hoàng Văn Thụ	25
121161841247390	Chuyên lý Tổng hợp	25
110645225622460	Xuan Dinh	25
263415343699138	THPT Đội Cấn - Vĩnh Tường - Vĩnh Phúc	25
188778751171208	Huynh Thuc Khang High School	25
114544005224842	Marie Curie	25
134366969932544	THPT Trần Nguyên Hãn - Hải Phòng	25
113335822030263	THPT Hai Bà Trưng	25
234128876607071	THPT Sông Công	25
